report_date,civic_buildings_destroyed,civic_buildings_ext_destroyed,educational_buildings_damaged,educational_buildings_destroyed,educational_buildings_ext_damaged,educational_buildings_ext_destroyed,places_of_worship_churches_destroyed,places_of_worship_ext_churches_destroyed,places_of_worship_ext_mosques_damaged,places_of_worship_ext_mosques_destroyed,places_of_worship_mosques_damaged,places_of_worship_mosques_destroyed,residential_destroyed,residential_ext_destroyed
10/7/2023,,5,,,15,1,,0,4,2,,,,80
10/8/2023,,11,,,30,1,,0,8,4,,,159,159
10/9/2023,,16,,,45,2,,0,12,6,,,790,790
10/10/2023,,22,,,60,2,,0,17,8,,,1009,1009
10/11/2023,27,27,75,3,75,3,,0,21,10,,10,2835,2835
10/12/2023,,29,75,3,75,3,,0,25,10,,10,,4188
10/13/2023,,31,,,100,9,,0,29,12,,,5540,5540
10/14/2023,,33,124,14,124,14,,0,33,14,,,7000,7000
10/15/2023,,35,143,14,143,14,,0,37,16,,,8840,8840
10/16/2023,,37,150,18,150,18,,1,41,18,,,10500,10500
10/17/2023,,39,153,18,153,18,,1,46,20,,,12000,12000
10/18/2023,,41,,,157,20,,1,50,22,,,,13577
10/19/2023,,43,,,160,22,,1,54,24,,,,15154
10/20/2023,,45,,,164,23,,1,58,26,,,,16731
10/21/2023,,47,,,167,25,,1,62,28,,,,18308
10/22/2023,,49,,,171,27,,1,66,30,,,,19885
10/23/2023,,51,,,174,29,,1,70,32,,,,21462
10/24/2023,,53,,,178,30,,1,75,34,,,,23038
10/25/2023,,55,,,181,32,,1,79,36,,,,24615
10/26/2023,,57,,,185,34,,1,83,38,,,,26192
10/27/2023,,59,,,188,36,,1,87,39,,,,27769
10/28/2023,,60,,,192,37,,1,91,41,,,,29346
10/29/2023,,62,,,196,39,,1,95,43,,,,30923
10/30/2023,,64,,,199,41,,1,99,45,,,32500,32500
10/31/2023,,66,,,203,43,,1,104,47,,,,33571
11/1/2023,,68,,,206,44,,1,108,49,,,,34643
11/2/2023,,70,,,210,46,,1,112,51,,,,35714
11/3/2023,,72,,,213,48,,1,116,53,,,,36786
11/4/2023,,74,,,217,50,,2,120,55,,,,37857
11/5/2023,,76,,,220,51,,2,124,57,,,,38929
11/6/2023,,78,,,224,53,,2,128,59,,,40000,40000
11/7/2023,,80,,,227,55,,2,133,61,,,,40250
11/8/2023,,82,,,231,57,,2,137,63,,,,40500
11/9/2023,,84,,,234,58,,2,141,65,,,,40750
11/10/2023,88,88,238,60,238,60,3,2,145,67,145,67,41000,41000
11/11/2023,,89,,,239,60,,2,146,68,,,,41015
11/12/2023,,89,,,241,61,,2,148,70,,,41030,41030
11/13/2023,,90,,,242,61,,2,149,71,,,41120,41120
11/14/2023,,91,,,243,61,,2,151,72,,,42000,42000
11/15/2023,,91,,,245,62,,2,152,74,,,,42250
11/16/2023,,92,,,246,62,,2,154,75,,,,42500
11/17/2023,,93,,,247,62,,2,155,76,,,,42750
11/18/2023,,93,,,249,63,,2,156,78,,,43000,43000
11/19/2023,,94,,,250,63,,2,158,79,,,43000,43000
11/20/2023,,95,,,251,63,,2,159,80,,,43000,43000
11/21/2023,,96,,,253,63,,2,161,82,,,44000,44000
11/22/2023,,96,,,254,64,,2,162,83,,,45000,45000
11/23/2023,,97,,,255,64,,3,164,84,,,46000,46000
11/24/2023,,98,,,256,64,,3,165,86,,,,47000
11/25/2023,,98,,,258,65,,3,166,87,,,,48000
11/26/2023,,99,,,259,65,,3,168,89,,,,49000
11/27/2023,,100,,,260,65,,3,169,90,,,50000,50000
11/28/2023,,100,,,262,66,,3,171,91,,,,50000
11/29/2023,,101,,,263,66,,3,172,93,,,,50000
11/30/2023,,102,,,264,66,,3,174,94,,,50000,50000
12/1/2023,103,103,267,,267,67,,3,175,95,175,,50000,50000
12/2/2023,,103,267,67,267,67,3,3,181,97,181,,50000,50000
12/3/2023,103,103,270,67,270,67,3,3,183,98,183,,50000,50000
12/4/2023,,107,,,271,69,,3,186,99,,,,51000
12/5/2023,,110,,,273,70,,3,189,101,,,52000,52000
12/6/2023,,114,,,274,72,,3,191,102,,,,52000
12/7/2023,121,121,275,73,275,73,3,3,194,103,194,,52000,52000
12/8/2023,,122,,,275,73,,3,194,105,,,,52100
12/9/2023,,123,,,276,74,,3,195,106,,,,52200
12/10/2023,,124,,,276,74,,3,195,107,,,,52300
12/11/2023,,124,,,276,75,,3,196,109,,,,52400
12/12/2023,126,126,277,75,277,75,3,3,196,110,196,110,52500,52500
12/13/2023,,126,,,278,80,,3,197,111,,,,52500
12/14/2023,,126,,,280,85,,3,199,111,,,,52500
12/15/2023,126,126,282,90,282,90,3,3,200,112,200,112,52500,52500
12/16/2023,,126,,,282,90,,3,200,112,,,,52500
12/17/2023,,126,,,282,90,,3,200,112,,,,52500
12/18/2023,126,126,282,90,282,90,3,3,200,112,200,112,52500,52500
12/19/2023,126,126,282,90,282,90,3,3,200,112,200,112,52600,52600
12/20/2023,126,126,283,90,283,90,3,3,200,114,200,114,53000,53000
12/21/2023,,126,,,284,91,,3,200,114,,,,55400
12/22/2023,,126,,,284,91,,3,200,115,,,,57800
